;pid;current_price;original_price;category;sub_category;is_sale;cluster
0;c9fe04e5097c087b6b6eeccc3adc4a142e14aa46;699.0;-1.0;0;0;False;7
1;e00988f42f7fc5f14ec6a0e7905789110f23c5de;150.0;-1.0;1;1;False;7
2;1e2e7c0d4082295728c1684a702cb43e1d332d3e;549.9;1049.9;2;0;True;2
3;a279dd2284eb57533ca417c258ede0a0526a6f6e;0.0;0.0;0;2;False;6
4;405b0362ae6ec149700164811b0e7773c8300e9d;79.9;0.0;2;3;False;0
5;d2df16bee9d37212d9dc0a9709c3a8579fedcfff;209.9;0.0;2;3;False;0
6;bdd7e95656924176860952506e72218a84e44e2b;0.0;0.0;0;3;False;1
7;daae65b7b1a2599bbe626aeb99c4a7ed4fab5a27;1389.9;0.0;2;4;False;0
8;11e952b51619add4cc796cd8d174b6e08eef1c2b;179.9;369.9;2;3;True;9
9;6af9bdadcdaef8b2654432c98b3c111d74c2dfc2;449.9;0.0;2;3;False;0
10;7a58ddec08df4a46498bdbe6ad501aeb961f4085;99.9;0.0;2;2;False;0
11;8af878fd87488424a042920a31a5898a9916ac08;790.0;-1.0;0;2;False;6
12;2e1baec2d2398fe18d33dc23aaf33daf3cdf0791;99.9;179.9;2;3;True;9
13;076e5a3a32038d0ba2d7e8fac5f6a5249a68e749;1049.9;-1.0;1;1;False;7
14;8c0b914022d9d339e5028b232733da5f21391070;640.0;-1.0;2;3;False;0
15;3d275f125d41d85989fb54646e5f6075d8ec53ef;0.0;0.0;0;3;False;1
16;f7aa3960790ab0e79d4287fba152f0ba0d074ee5;1795.0;0.0;2;3;False;0
17;53016aa2df9ae11ddd4161620532c778155462ef;274.9;0.0;0;3;False;1
18;878a153f374dacbeec3ca0cc84a5082e2260304a;269.9;379.9;2;5;True;3
19;b52d54feee67ab0daa9c8f10b5ed454a9ca5191a;441.0;0.0;0;2;False;6
20;9e4db4dd69eb675729462f16159280538902a8cb;199.9;349.0;3;6;True;3
21;471b561f02812adffaced06731de5141e18c4bd4;1199.0;0.0;2;3;False;0
22;e01ff37221852f9338cb0217ab0e0bbb81cf1e08;1349.0;-1.0;0;0;False;7
23;e114c448f4ab8554ad14eff3d66dfeb3965ce8fc;159.9;299.9;1;1;True;7
24;69a78e0e08e93bbe7c490f216bd9360d21d04db9;600.0;-1.0;3;6;False;3
25;9e071a3a594a8964cbefe784f8a6afaa94c0de17;699.9;-1.0;0;2;False;6
26;4ea33e5483d3d714abfd8fac970e1f0cd656980c;475.0;0.0;0;3;False;1
27;a287bc81e097b715cd6f2d595b25c9b1f8e40840;0.0;0.0;2;2;False;0
28;d5433dd78ffdeb28a29991af01c5e169490c5e23;249.9;0.0;2;3;False;0
29;e56ed66c39db4433ce5835cca96d78d8ded944a3;589.9;1199.0;0;3;True;1
30;5f7b772e54a977a388fb53b12574f4424b12e64b;314.3;0.0;0;3;False;1
31;58f36c1b1ad277a0ad0f2371fddf4bf0b2116358;59.9;0.0;2;3;False;0
32;fef5d87afd66216ffa54826e293676b035b2f7f7;439.9;0.0;4;1;False;8
33;26dfcba0a1a77a163a348ec41b854928c72b6c64;0.0;0.0;0;2;False;6
34;552d96735977286f72825ca75286e3f152f6b87d;379.9;640.0;0;3;True;1
35;45b91ed5abc261a5ea88483762c01f8461b75121;79.9;-1.0;0;2;False;6
36;e2674702d23f485ad912008ae02f36db3fe2d6db;479.9;-1.0;0;3;False;1
37;3c260d3f0aeab2728376bd4a3214c5aa91a392ce;299.9;0.0;0;3;False;1
38;fe8473c5b7adc2f5cf3152ce51fad2c7d8b84c32;0.0;0.0;0;3;False;1
39;a2ab5c9a16201fffd6342ef3965286e4df4dbe8b;199.9;-1.0;2;2;False;0
40;366c8a4ba7cb9094536a0e19a2aabdfdaf61928d;249.9;0.0;0;3;False;1
41;aaa9b053215238efca49d5569de039911cdb3167;199.9;-1.0;2;3;False;0
42;00bff0408a9a9f9ac8b2d4a9e558432ada682b1a;949.9;1580.0;0;2;True;6
43;3a4626451a1d9f090c863bd89c89ecde3fae08ee;170.0;-1.0;2;3;False;0
44;a2f41ebbb357ee235e9d0a2dddc53c1afebb1e14;149.9;0.0;0;2;False;6
45;f708e21b136f899641d38c48ebb14fcc3d238ba3;999.0;-1.0;2;0;False;2
46;a2e9ef128de833773e9ad19604eff0b1bf04045f;129.9;-1.0;3;6;False;3
47;85cde6f89074f4e42c9d78804915b4d980bf957c;200.0;-1.0;0;2;False;6
48;338f0cad1e39d7ec25fbd4cc30340d6dd185d2ed;1069.9;0.0;2;3;False;0
49;f67c21fb950ac34f846a3cbb6d92d92ac80def8c;499.9;0.0;0;0;False;7
50;956c9250f5cd983a8e2c3ef3459caf5835cfd0b5;299.9;0.0;2;2;False;0
51;14eea44263c55167ff4b10ffcc62dded1a939c7d;349.9;0.0;0;0;False;7
52;5715df96bc18366cfacc0bba730778e002b9fdfc;0.0;0.0;2;3;False;0
53;fb994d393c6b45a6f2e284d386859d9a361db7a7;169.9;349.9;2;3;True;9
54;233bc6ca55f6287a58e09d92475560b48a6917bd;239.0;-1.0;2;3;False;0
55;8c30c56131f1c2c47fadf45104aa7fd82d3b0838;349.9;-1.0;3;6;False;3
56;3b56e521ab1ccecb65bd181db043c3d2ed0c0996;0.0;0.0;3;7;False;3
57;067a23ad90c6f9e809d586db1130992bfb923a5f;1129.9;0.0;0;2;False;6
58;3c99768a4b0e3105146ba6a74890de1ac2fe1219;159.9;0.0;0;3;False;1
59;0365c1bb75f0465e70683707a0f05a94dd6ba1bb;599.0;-1.0;2;3;False;0
60;11c8ff948b6a602be6da2f4f005b22c0a338615d;1380.0;-1.0;0;3;False;1
61;00f66f7c1fdb82d0fde2f49460c2b349fc57bf9a;840.0;-1.0;0;0;False;7
62;69f54290144aa1e1b3df05dd11252477b0d2ac93;2269.9;0.0;2;3;False;0
63;5aa303da110ce50e7b7a3f28aee06bd69403b60b;99.9;0.0;0;3;False;1
64;2e096513915be54e74db0bfe447e9c2790904444;169.0;-1.0;0;2;False;6
65;05af3c198573b3a254d8658563b39684c21d3df9;69.9;109.9;2;2;True;9
66;fcb27cc035ef5efdd32b808c44b63c8a787b9c86;700.0;-1.0;2;3;False;0
67;fbdc5d7c88ba704a82a83a3d1691e66cdd046d4a;0.0;0.0;0;2;False;6
68;62fd0a42647cdc448447adda01a5848a6b48ab78;399.0;-1.0;0;2;False;6
69;a24320d180a2f5fa7941b8794be6ff79b5b6e180;294.9;0.0;0;2;False;6
70;34773cb926ab4f2acf6715f8a450e3b1462e2125;299.9;0.0;3;6;False;3
71;7e7589283b78fa8ae0a112c807d94dc3ff896109;0.0;0.0;0;2;False;6
72;77f016c1cfb8bd431918486d75451e874c0a6ffd;469.9;0.0;2;3;False;0
73;c03616517bb61679e28fffe3a1677a338a2c3684;369.9;-1.0;2;3;False;0
74;7529b212960dff96f2b0d3f7c9e91b39c15b7a7d;1099.9;2100.0;0;2;True;6
75;3cc5149977a9d4beaf5387b67b4d30c41fdf32e0;579.9;-1.0;1;1;False;7
76;dcb522e2c5781f77648c640682271d881d61f4d7;649.0;799.0;0;0;True;7
77;5c717d21897c58b34f3e5e85dc0021381b2c52df;159.0;-1.0;0;2;False;6
78;35e8459b07e3c04ee733ae7ffb6b08397e9022b4;559.9;949.0;2;3;True;9
79;c0bd3061da0c7d9f2e0b8103deae7503b601dfdc;125.3;179.0;0;2;True;6
80;7fe77fc3b545300f121496d0ec0995d25001101b;99.9;129.0;3;6;True;3
81;b8e11223909c77b03ccfb574865d7de5fe62c0d6;199.9;0.0;0;3;False;1
82;ac600528c83e4fe1c4405acd288fa3f55fd7a399;159.9;259.0;2;3;True;9
83;316ca6e75f234ef0746d72fd460457167a4bc56b;99.9;169.9;2;3;True;9
84;f2fe0505d67fe891ce502d7a39178b910d315c82;0.0;0.0;0;2;False;6
85;a59a676847c2cc9b00d32a4e6ccd337e0e9816bf;269.9;0.0;2;2;False;0
86;4cf6acafc1a139c997a1f5fe5f6fe8011eadddfa;699.0;-1.0;0;3;False;1
87;d31a4a69b4c8ec9a76b7eab76549436d5e2e55da;1799.0;-1.0;0;3;False;1
88;024f00c9b2650f6ad16b9cf3096b29520b1ad680;770.0;1100.0;0;2;True;6
89;c355ec6463655f61aafad6e8ba8631e357bb4e29;0.0;0.0;2;3;False;0
90;3d2d45d4b3f9c8fcd7d9417d5d99a1b5a894ec42;190.0;-1.0;0;3;False;1
91;2f4a60fad0b9062b11d57336f120ad9792ed74a6;369.9;549.9;0;2;True;6
92;40f72f65221459e19b766a57ae9844569ff795f6;0.0;0.0;2;3;False;0
93;01844bd0b39d922524b88fa6c6380b8d438228e5;312.0;0.0;2;3;False;0
94;233e49b63d975d322a3bc80bfa6209d51a80634e;369.9;0.0;0;2;False;6
95;2644a6a51bd4fe13c4368bcbcdea7ab58b68a4a5;649.0;799.0;2;0;True;2
96;01bebe12b8dc027ea050df06a0a3966dc6438d3d;299.0;-1.0;3;7;False;3
97;b6c72febfd8314502e34e447ff44978005a64421;0.0;0.0;2;0;False;2
98;a2b97012523fd6492d402bc9d30e7eb39c9291c1;1960.0;-1.0;0;3;False;1
99;391fe4d1ff292386110f07c129918e6a6733e44a;1249.0;-1.0;0;3;False;1
100;e525a8cf939abd1324eeb8c7db8521e86ef39097;399.9;-1.0;0;0;False;7
101;1cdc280cfe721c494a6aeab5760352926878db21;329.0;-1.0;0;3;False;1
102;aefa86126ac553987d5e1a829cacf351d78d25f8;-1.0;-1.0;4;1;False;8
103;b2221b4078a225e12a678908d73e99a23b4f0e7f;399.9;680.0;0;2;True;6
104;c439c60b7bf00fc6d80b76312309f8dc6107f635;529.9;949.9;1;1;True;7
105;6d9a7f6b494ed63325e9d68445009e8b7fc33f68;199.9;0.0;2;3;False;0
106;0399777e09cde6091e0b679bb77cf83e00e6a306;89.9;0.0;2;2;False;0
107;1be2e501203406a1fdd68af0448d7f799b67cbdb;299.0;620.0;0;0;True;7
108;e6e9f06dd5b0a9c1d2687e66cbdfc6a783ae8dbf;119.9;199.9;0;2;True;6
109;916627a6fee42c5d4e5566807cd168e7dd3d67bd;0.0;0.0;0;2;False;6
